"mina.d": 0x4620001E
"mina.s": 0x4600001E
"mini_s.b": 0x7A000006
"mini_s.d": 0x7A600006
"mini_s.h": 0x7A200006
"mini_s.w": 0x7A400006
"mini_u.b": 0x7A800006
"mini_u.d": 0x7AE00006
"mini_u.h": 0x7AA00006
"mini_u.w": 0x7AC00006
"mod": 0x000000DA
"mod_s.b": 0x7B000012
"mod_s.d": 0x7B600012
"mod_s.h": 0x7B200012
"mod_s.w": 0x7B400012
"mod_u.b": 0x7B800012
"mod_u.d": 0x7BE00012
"mod_u.h": 0x7BA00012
"mod_u.w": 0x7BC00012
"modsub": 0x7C000490
"modu": 0x000000DB
"mov.d": 0x46200006
"mov.s": 0x46000006
"move": 0x00000021
"move.v": 0x78BE0019
"msub": 0x70000004
"msub_q.h": 0x7980001C
"msub_q.w": 0x79A0001C
"msubf.d": 0x46200019
"msubf.s": 0x46000019
"msubr_q.h": 0x7B80001C
"msubr_q.w": 0x7BA0001C
"msubu": 0x70000005
"msubv.b": 0x79000012
"msubv.d": 0x79600012
"msubv.h": 0x79200012
"msubv.w": 0x79400012
"mtc0": 0x40800000
"mtc1": 0x44800000
"mtc2": 0x48800000
"mthc1": 0x44E00000
"mthi": 0x00000011
"mthlip": 0x7C0007F8
"mtlo": 0x00000013
"muh": 0x000000D8
"muhu": 0x000000D9
"mul": 0x00000098
"mul.d": 0x46200002
"mul.ph": 0x7C000318
"mul.s": 0x46000002
"mul_q.h": 0x7900001C
"mul_q.w": 0x7920001C
"mul_s.ph": 0x7C000398
"muleq_s.w.phl": 0x7C000710
"muleq_s.w.phr": 0x7C000750
"muleu_s.ph.qbl": 0x7C000190
"muleu_s.ph.qbr": 0x7C0001D0
"mulq_rs.ph": 0x7C0007D0
"mulq_rs.w": 0x7C0005D8
"mulq_s.ph": 0x7C000790
"mulq_s.w": 0x7C000598
"mulr_q.h": 0x7B00001C
"mulr_q.w": 0x7B20001C
"mulsa.w.ph": 0x7C0000B0
"mulsaq_s.w.ph": 0x7C0001B0
"mult": 0x00000018
"multu": 0x00000019
"mulu": 0x00000099
"mulv.b": 0x78000012
"mulv.d": 0x78600012
"mulv.h": 0x78200012
"mulv.w": 0x78400012
"neg": 0x00000022
"neg.d": 0x46200007
"neg.s": 0x46000007
"negu": 0x00000023
"nloc.b": 0x7B08001E
"nloc.d": 0x7B0B001E
"nloc.h": 0x7B09001E
"nloc.w": 0x7B0A001E
"nlzc.b": 0x7B0C001E
"nlzc.d": 0x7B0F001E
"nlzc.h": 0x7B0D001E
"nlzc.w": 0x7B0E001E
"nop": 0x00000000
"nor": 0x00010027
"nor.v": 0x7840001E
"nori.b": 0x7A000000
"not": 0x00000027
"or": 0x00010025
"or.v": 0x7820001E
"ori": 0x34000000
"ori.b": 0x79000000
"packrl.ph": 0x7C000391
"pause": 0x00000140
"pckev.b": 0x79000014
"pckev.d": 0x79600014
"pckev.h": 0x79200014
"pckev.w": 0x79400014
"pckod.b": 0x79800014
"pckod.d": 0x79E00014
"pckod.h": 0x79A00014
"pckod.w": 0x79C00014
"pcnt.b": 0x7B04001E
"pcnt.d": 0x7B07001E
"pcnt.h": 0x7B05001E
"pcnt.w": 0x7B06001E
"pick.ph": 0x7C0002D1
"pick.qb": 0x7C0000D1
"preceq.w.phl": 0x7C000312
"preceq.w.phr": 0x7C000352
"precequ.ph.qbl": 0x7C000112
"precequ.ph.qbla": 0x7C000192
"precequ.ph.qbr": 0x7C000152
"precequ.ph.qbra": 0x7C0001D2
"preceu.ph.qbl": 0x7C000712
"preceu.ph.qbla": 0x7C000792
"preceu.ph.qbr": 0x7C000752
"preceu.ph.qbra": 0x7C0007D2
"precr.qb.ph": 0x7C000351
"precr_sra.ph.w": 0x7C000791
"precr_sra_r.ph.w": 0x7C0007D1
