FEBF0AC0 vcvtm.s32.f32
FEBF0BC0 vcvtm.s32.f64
FEBF0A40 vcvtm.u32.f32
FEBF0B40 vcvtm.u32.f64
FEBD0AC0 vcvtn.s32.f32
FEBD0BC0 vcvtn.s32.f64
FEBD0A40 vcvtn.u32.f32
FEBD0B40 vcvtn.u32.f64
FEBE0AC0 vcvtp.s32.f32
FEBE0BC0 vcvtp.s32.f64
FEBE0A40 vcvtp.u32.f32
FEBE0B40 vcvtp.u32.f64
6EBD0A40 vcvtr<c>.s32.f32
6EBD0B40 vcvtr<c>.s32.f64
6EBC0A40 vcvtr<c>.u32.f32
6EBC0B40 vcvtr<c>.u32.f64
6EB30AC0 vcvtt<c>.f16.f32
6EB30BC0 vcvtt<c>.f16.f64
6EB20AC0 vcvtt<c>.f32.f16
6EB20BC0 vcvtt<c>.f64.f16
6E800A00 vdiv<c>.f32
6E800B00 vdiv<c>.f64
6E800B30 vdup<c>.16
6E800B10 vdup<c>.32
6EC00B10 vdup<c>.8
F3000110 veor
F2B00200 vext.16
F2B00000 vext.32
F2B00040 vext.64
F2B00100 vext.8
6EA00A00 vfma<c>.f32
6EA00B00 vfma<c>.f64
6EA00A40 vfms<c>.f32
6EA00B40 vfms<c>.f64
6E900A40 vfnma<c>.f32
6E900B40 vfnma<c>.f64
6E900A00 vfnms<c>.f32
6E900B00 vfnms<c>.f64
F2100000 vhadd.s16
F2200000 vhadd.s32
F2000000 vhadd.s8
F3100000 vhadd.u16
F3200000 vhadd.u32
F3000000 vhadd.u8
F2100200 vhsub.s16
F2200200 vhsub.s32
F2000200 vhsub.s8
F3100200 vhsub.u16
F3200200 vhsub.u32
F3000200 vhsub.u8
F4200240 vld1.16
F4200280 vld1.32
F42002C0 vld1.64
F4200200 vld1.8
F4200340 vld2.16
F4200380 vld2.32
F4200300 vld2.8
F4200440 vld3.16
F4200480 vld3.32
F4200400 vld3.8
F4200040 vld4.16
F4200080 vld4.32
F4200000 vld4.8
6D300A00 vldmdb<c>
6C900A00 vldmia<c>
6D100A00 vldr<c>
F2000F00 vmax.f32
F2100600 vmax.s16
F2200600 vmax.s32
F2000600 vmax.s8
F3100600 vmax.u16
F3200600 vmax.u32
F3000600 vmax.u8
FE800A00 vmaxnm.f32
FE800B00 vmaxnm.f64
F2200F00 vmin.f32
F2100610 vmin.s16
F2200610 vmin.s32
F2000610 vmin.s8
F3100610 vmin.u16
F3200610 vmin.u32
F3000610 vmin.u8
FE800A40 vminnm.f32
FE800B40 vminnm.f64
F2100900 vmla.i16
F2200900 vmla.i32
F2000900 vmla.i8
6E000A00 vmla<c>.f32
6E000B00 vmla<c>.f64
F2900240 vmlal.s16
F2A00240 vmlal.s32
F2800800 vmlal.s8
F3900240 vmlal.u16
F3A00240 vmlal.u32
F3800800 vmlal.u8
9E000A00 vmlals.f32
9E000B00 vmlals.f64
F2900440 vmls.i16
F2A00440 vmls.i32
F3000900 vmls.i8
6E000A40 vmls<c>.f32
6E000B40 vmls<c>.f64
F2900640 vmlsl.s16
F2A00640 vmlsl.s32
F2800A00 vmlsl.s8
F3900640 vmlsl.u16
F3A00640 vmlsl.u32
F3800A00 vmlsl.u8
9E000A40 vmlsls.f32
9E000B40 vmlsls.f64
F2800810 vmov.i16
F2800010 vmov.i32
F2800E30 vmov.i64
F2800E10 vmov.i8
6C400A10 vmov<c>
6E000B30 vmov<c>.16
6E000B10 vmov<c>.32
6E400B10 vmov<c>.8
6EB00A00 vmov<c>.f32
6EB00B00 vmov<c>.f64
6E100B30 vmov<c>.s16
6E500B10 vmov<c>.s8
6E900B30 vmov<c>.u16
6ED00B10 vmov<c>.u8
F2900A10 vmovl.s16
F2A00A10 vmovl.s32
F2880A10 vmovl.s8
F3900A10 vmovl.u16
F3A00A10 vmovl.u32
F3880A10 vmovl.u8
9C400A10 vmovls
9E000B30 vmovls.16
9E000B10 vmovls.32
9E400B10 vmovls.8
9EB00A00 vmovls.f32
9EB00B00 vmovls.f64
9E100B30 vmovls.s16
9E500B10 vmovls.s8
9E900B30 vmovls.u16
9ED00B10 vmovls.u8
F3B20200 vmovn.i16
F3B60200 vmovn.i32
F3BA0200 vmovn.i64
6EF00A10 vmrs<c>
6EE00A10 vmsr<c>
F2100910 vmul.i16
F2200910 vmul.i32
F2000910 vmul.i8
F3000910 vmul.p8
6E200A00 vmul<c>.f32
6E200B00 vmul<c>.f64
F2800E00 vmull.p8
F2900A40 vmull.s16
F2A00A40 vmull.s32
F2800C00 vmull.s8
F3900A40 vmull.u16
F3A00A40 vmull.u32
F3800C00 vmull.u8
9E200A00 vmulls.f32
9E200B00 vmulls.f64
F3B00580 vmvn
F2800830 vmvn.i16
F2800030 vmvn.i32
F3B50380 vneg.s16
F3B90380 vneg.s32
F3B10380 vneg.s8
6EB10A40 vneg<c>.f32
6EB10B40 vneg<c>.f64
6E100A40 vnmla<c>.f32
6E100B40 vnmla<c>.f64
6E100A00 vnmls<c>.f32
6E100B00 vnmls<c>.f64
6E200A40 vnmul<c>.f32
6E200B40 vnmul<c>.f64
F2300110 vorn
F2200110 vorr
F2800910 vorr.i16
F2800110 vorr.i32
F3B40600 vpadal.s16
F3B80600 vpadal.s32
F3B00600 vpadal.s8
F3B40680 vpadal.u16
F3B80680 vpadal.u32
F3B00680 vpadal.u8
F3000D00 vpadd.f32
F2100B10 vpadd.i16
F2200B10 vpadd.i32
F2000B10 vpadd.i8
F3B40200 vpaddl.s16
F3B80200 vpaddl.s32
F3B00200 vpaddl.s8
F3B40280 vpaddl.u16
F3B80280 vpaddl.u32
F3B00280 vpaddl.u8
F3000F00 vpmax.f32
F2100A00 vpmax.s16
F2200A00 vpmax.s32
F2000A00 vpmax.s8
F3100A00 vpmax.u16
F3200A00 vpmax.u32
F3000A00 vpmax.u8
F3200F00 vpmin.f32
F2100A10 vpmin.s16
F2200A10 vpmin.s32
F2000A10 vpmin.s8
F3100A10 vpmin.u16
F3200A10 vpmin.u32
F3000A10 vpmin.u8
6CBD0A00 vpop<c>
6D2D0A00 vpush<c>
F3B40700 vqabs.s16
F3B80700 vqabs.s32
F3B00700 vqabs.s8
F2100010 vqadd.s16
F2200010 vqadd.s32
F2300010 vqadd.s64
F2000010 vqadd.s8
F3100010 vqadd.u16
F3200010 vqadd.u32
F3300010 vqadd.u64
F3000010 vqadd.u8
F2900340 vqdmlal.s16
F2A00340 vqdmlal.s32
F2900740 vqdmlsl.s16
F2A00740 vqdmlsl.s32
F2100B00 vqdmulh.s16
F2200B00 vqdmulh.s32
F2900B40 vqdmull.s16
F2A00B40 vqdmull.s32
F3B20280 vqmovn.s16
F3B60280 vqmovn.s32
F3BA0280 vqmovn.s64
F3B202C0 vqmovn.u16
F3B602C0 vqmovn.u32
F3BA02C0 vqmovn.u64
F3B20240 vqmovun.s16
F3B60240 vqmovun.s32
F3BA0240 vqmovun.s64
F3B40780 vqneg.s16
F3B80780 vqneg.s32
F3B00780 vqneg.s8
F2900D40 vqrdmulh.s16
F2A00D40 vqrdmulh.s32
F2100510 vqrshl.s16
F2200510 vqrshl.s32
F2300510 vqrshl.s64
