'mfpvr': 0x7C1F42A6
'mfrtcl': 0x7C0502A6
'mfrtcu': 0x7C0402A6
'mfspefscr': 0x7C0082A6
'mfspr': 0x7C0002A6
'mfsr': 0x7C0004A6
'mfsrin': 0x7C000526
'mfsrr2': 0x7C1EF2A6
'mfsrr3': 0x7C1FF2A6
'mftb': 0x7C0002E6
'mftbhi': 0x7C1CF2A6
'mftblo': 0x7C1DF2A6
'mftbu': 0x7C0D42E6
'mftcr': 0x7C1AF2A6
'mfvscr': 0x10000604
'mfxer': 0x7C0102A6
'mr': 0x7C000378
'mtamr': 0x7C1D03A6
'mtbr0': 0x7C002386
'mtbr1': 0x7C012386
'mtbr2': 0x7C022386
'mtbr3': 0x7C032386
'mtbr4': 0x7C042386
'mtbr5': 0x7C052386
'mtbr6': 0x7C062386
'mtbr7': 0x7C072386
'mtcfar': 0x7C1C03A6
'mtcrf': 0x7C000120
'mtctr': 0x7C0903A6
'mtdar': 0x7C1303A6
'mtdbatl': 0x7C1983A6
'mtdbatu': 0x7C1883A6
'mtdccr': 0x7C1AFBA6
'mtdcr': 0x7C000386
'mtdear': 0x7C15F3A6
'mtdscr': 0x7C1103A6
'mtdsisr': 0x7C1203A6
'mtesr': 0x7C14F3A6
'mtfsb0': 0xFC00008C
'mtfsb1': 0xFC00004C
'mtfsf': 0xFC00058E
'mtibatl': 0x7C1183A6
'mtibatu': 0x7C1083A6
'mticcr': 0x7C1BFBA6
'mtlr': 0x7C0803A6
'mtmsr': 0x7C000124
'mtmsrd': 0x7C000164
'mtocrf': 0x7C101120
'mtpid': 0x7C100BA6
'mtspefscr': 0x7C0083A6
'mtspr': 0x7C0003A6
'mtsr': 0x7C0001A4
'mtsrin': 0x7C0001E4
'mtsrr2': 0x7C1EF3A6
'mtsrr3': 0x7C1FF3A6
'mttbhi': 0x7C1CF3A6
'mttbl': 0x7C1C43A6
'mttblo': 0x7C1DF3A6
'mttbu': 0x7C1D43A6
'mttcr': 0x7C1AF3A6
'mtvscr': 0x10000644
'mtxer': 0x7C0103A6
'mulhd': 0x7C000092
'mulhdu': 0x7C000012
'mulhw': 0x7C000096
'mulhwu': 0x7C000016
'mulld': 0x7C0001D2
'mulli': 0x1C000000
'mullw': 0x7C0001D6
'nand': 0x7C0003B8
'neg': 0x7C0000D0
'nop': 0x60000000
'nor': 0x7C0000F8
'or': 0x7C000379
'orc': 0x7C000338
'ori': 0x60000001
'oris': 0x64000000
'popcntd': 0x7C0003F4
'popcntw': 0x7C0002F4
'ptesync': 0x7C4004AC
'rfci': 0x4C000066
'rfdi': 0x4C00004E
'rfi': 0x4C000064
'rfid': 0x4C000024
'rfmci': 0x4C00004C
'rldcl': 0x78000030
'rldcr': 0x78000012
'rldic': 0x78000008
'rldicl': 0x78000022
'rldicr': 0x78000004
'rldimi': 0x7800000C
'rlwimi': 0x50000000
'rlwinm': 0x54000000
'rlwnm': 0x5C000000
'rotld': 0x78000010
'rotldi': 0x78000000
'rotlw': 0x5C00003E
'rotlwi': 0x5400003F
'sc': 0x44000002
'slbia': 0x7C0003E4
'slbie': 0x7C000364
'slbmfee': 0x7C000726
'slbmte': 0x7C000324
'sld': 0x7C000036
'sldi': 0x780007C6
'slw': 0x7C000030
'slwi': 0x5400003E
'srad': 0x7C000634
'sradi': 0x7C000674
'sraw': 0x7C000630
'srawi': 0x7C000670
'srd': 0x7C000436
'srw': 0x7C000430
'srwi': 0x54000FFE
'stb': 0x98000000
'stbu': 0x9C000000
'stbux': 0x7C0001EE
'stbx': 0x7C0001AE
'std': 0xF8000000
'stdbrx': 0x7C000528
'stdcx': 0x7C0001AD
'stdu': 0xF8000001
'stdux': 0x7C00016A
'stdx': 0x7C00012A
'stfd': 0xD8000000
'stfdu': 0xDC000000
'stfdux': 0x7C0005EE
'stfdx': 0x7C0005AE
'stfiwx': 0x7C0007AE
'stfs': 0xD0000000
'stfsu': 0xD4000000
'stfsux': 0x7C00056E
'stfsx': 0x7C00052E
'sth': 0xB0000000
'sthbrx': 0x7C00072C
'sthu': 0xB4000000
'sthux': 0x7C00036E
'sthx': 0x7C00032E
'stmw': 0xBC000000
'stswi': 0x7C0005AA
'stvebx': 0x7C00010E
'stvehx': 0x7C00014E
'stvewx': 0x7C00018E
'stvx': 0x7C0001CE
'stvxl': 0x7C0003CE
'stw': 0x90000000
'stwbrx': 0x7C00052C
'stwcx': 0x7C00012D
'stwu': 0x94000000
'stwux': 0x7C00016E
'stwx': 0x7C00012E
'stxsdx': 0x7C000598
'stxvd2x': 0x7C000798
'stxvw4x': 0x7C000718
'subf': 0x7C000050
'subfc': 0x7C000010
'subfe': 0x7C000110
'subfic': 0x20000000
'subfme': 0x7C0001D0
'subfze': 0x7C000190
'sync': 0x7C0004AC
'td': 0x7C000088
'tdeq': 0x7C800088
'tdeqi': 0x08800000
'tdgt': 0x7D000088
'tdgti': 0x09000000
'tdi': 0x08000000
'tdlgt': 0x7C200088
'tdlgti': 0x08200000
'tdllt': 0x7C400088
'tdllti': 0x08400000
'tdlt': 0x7E000088
'tdlti': 0x0A000000
'tdne': 0x7F000088
'tdnei': 0x0B000000
'tdu': 0x7FE00088
'tdui': 0x0BE00000
'tlbia': 0x7C0002E4
'tlbie': 0x7C000264
'tlbiel': 0x7C000224
'tlbivax': 0x7C000624
'tlbld': 0x7C000FA4
'tlbli': 0x7C0007E4
'tlbre': 0x7C000764
'tlbrehi': 0x7C001764
'tlbrelo': 0x7C000F64
'tlbsx': 0x7C000724
'tlbsync': 0x7C00046C
'tlbwe': 0x7C0007A4
'tlbwehi': 0x7C0107A4
'tlbwelo': 0x7C010FA4
'trap': 0x7FE00008
'tw': 0x7C000008
'tweq': 0x7C800008
'tweqi': 0x0C800000
'twgt': 0x7D000008
'twgti': 0x0D000000
'twi': 0x0C000000
'twlgt': 0x7C200008
'twlgti': 0x0C200000
'twllt': 0x7C400008
'twllti': 0x0C400000
'twlt': 0x7E000008
'twlti': 0x0E000000
'twne': 0x7F000008
'twnei': 0x0F000000
'twu': 0x7FE00808
'twui': 0x0FE00000
'undef': 0x00000000
'vaddcuw': 0x10000180
'vaddfp': 0x1000000A
'vaddsbs': 0x10000300
'vaddshs': 0x10000340
'vaddsws': 0x10000380
'vaddubm': 0x10000000
'vaddubs': 0x10000200
'vadduhm': 0x10000040
'vadduhs': 0x10000240
'vadduwm': 0x10000080
'vadduws': 0x10000280
'vand': 0x10000404
'vandc': 0x10000444
'vavgsb': 0x10000502
'vavgsh': 0x10000542
'vavgsw': 0x10000582
'vavgub': 0x10000402
'vavguh': 0x10000442
'vavguw': 0x10000482
'vcfsx': 0x1000034A
'vcfux': 0x1000030A
'vcmpbfp': 0x100003C6
'vcmpeqfp': 0x100000C6
'vcmpequb': 0x10000006
'vcmpequh': 0x10000046
'vcmpequw': 0x10000086
'vcmpgefp': 0x100001C6
'vcmpgtfp': 0x100002C6
'vcmpgtsb': 0x10000306
'vcmpgtsh': 0x10000346
