'ldarx': 0x7C0000A8
'ldbrx': 0x7C000428
'ldu': 0xE8000001
'ldux': 0x7C00006A
'ldx': 0x7C00002A
'lfd': 0xC8000000
'lfdu': 0xCC000000
'lfdux': 0x7C0004EE
'lfdx': 0x7C0004AE
'lfiwax': 0x7C0006AE
'lfiwzx': 0x7C0006EE
'lfs': 0xC0000000
'lfsu': 0xC4000000
'lfsux': 0x7C00046E
'lfsx': 0x7C00042E
'lha': 0xA8000000
'lhau': 0xAC000000
'lhaux': 0x7C0002EE
'lhax': 0x7C0002AE
'lhbrx': 0x7C00062C
'lhz': 0xA0000000
'lhzu': 0xA4000000
'lhzux': 0x7C00026E
'lhzx': 0x7C00022E
'li': 0x38000000
'lis': 0x3C000000
'lmw': 0xB8000000
'lswi': 0x7C0004AA
'lvebx': 0x7C00000E
'lvehx': 0x7C00004E
'lvewx': 0x7C00008E
'lvsl': 0x7C00000C
'lvsr': 0x7C00004C
'lvx': 0x7C0000CE
'lvxl': 0x7C0002CE
'lwa': 0xE8000002
'lwarx': 0x7C000028
'lwaux': 0x7C0002EA
'lwax': 0x7C0002AA
'lwbrx': 0x7C00042C
'lwsync': 0x7C2004AC
'lwz': 0x80000000
'lwzu': 0x84000000
'lwzux': 0x7C00006E
'lwzx': 0x7C00002E
'lxsdx': 0x7C000498
'lxvd2x': 0x7C000698
'lxvdsx': 0x7C000298
'lxvw4x': 0x7C000618
'mbar': 0x7C0006AD
'mcrf': 0x4C000000
'mfamr': 0x7C1D02A6
'mfasr': 0x7C1842A6
'mfbr0': 0x7C002286
'mfbr1': 0x7C012286
'mfbr2': 0x7C022286
'mfbr3': 0x7C032286
'mfbr4': 0x7C042286
'mfbr5': 0x7C052286
'mfbr6': 0x7C062286
'mfbr7': 0x7C072286
'mfcfar': 0x7C1C02A6
'mfcr': 0x7C000026
'mfctr': 0x7C0902A6
'mfdar': 0x7C1302A6
'mfdbatl': 0x7C1982A6
'mfdbatu': 0x7C1882A6
'mfdccr': 0x7C1AFAA6
'mfdcr': 0x7C000286
'mfdear': 0x7C15F2A6
'mfdscr': 0x7C1102A6
'mfdsisr': 0x7C1202A6
'mfesr': 0x7C14F2A6
'mffs': 0xFC00048E
'mfibatl': 0x7C1182A6
'mfibatu': 0x7C1082A6
'mficcr': 0x7C1BFAA6
'mflr': 0x7C0802A6
'mfmsr': 0x7C0000A6
'mfocrf': 0x7C101026
'mfpid': 0x7C100AA6
'mfpvr': 0x7C1F42A6
'mfrtcl': 0x7C0502A6
'mfrtcu': 0x7C0402A6
'mfspefscr': 0x7C0082A6
'mfspr': 0x7C0002A6
'mfsr': 0x7C0004A6
'mfsrin': 0x7C000526
'mfsrr2': 0x7C1EF2A6
'mfsrr3': 0x7C1FF2A6
'mftb': 0x7C0002E6
'mftbhi': 0x7C1CF2A6
'mftblo': 0x7C1DF2A6
'mftbu': 0x7C0D42E6
'mftcr': 0x7C1AF2A6
'mfvscr': 0x10000604
'mfxer': 0x7C0102A6
'mr': 0x7C000378
'mtamr': 0x7C1D03A6
'mtbr0': 0x7C002386
'mtbr1': 0x7C012386
'mtbr2': 0x7C022386
'mtbr3': 0x7C032386
'mtbr4': 0x7C042386
'mtbr5': 0x7C052386
'mtbr6': 0x7C062386
'mtbr7': 0x7C072386
'mtcfar': 0x7C1C03A6
'mtcrf': 0x7C000120
'mtctr': 0x7C0903A6
'mtdar': 0x7C1303A6
'mtdbatl': 0x7C1983A6
'mtdbatu': 0x7C1883A6
'mtdccr': 0x7C1AFBA6
'mtdcr': 0x7C000386
'mtdear': 0x7C15F3A6
'mtdscr': 0x7C1103A6
'mtdsisr': 0x7C1203A6
'mtesr': 0x7C14F3A6
'mtfsb0': 0xFC00008C
'mtfsb1': 0xFC00004C
'mtfsf': 0xFC00058E
'mtibatl': 0x7C1183A6
'mtibatu': 0x7C1083A6
'mticcr': 0x7C1BFBA6
'mtlr': 0x7C0803A6
'mtmsr': 0x7C000124
'mtmsrd': 0x7C000164
'mtocrf': 0x7C101120
'mtpid': 0x7C100BA6
'mtspefscr': 0x7C0083A6
'mtspr': 0x7C0003A6
'mtsr': 0x7C0001A4
'mtsrin': 0x7C0001E4
'mtsrr2': 0x7C1EF3A6
'mtsrr3': 0x7C1FF3A6
'mttbhi': 0x7C1CF3A6
'mttbl': 0x7C1C43A6
'mttblo': 0x7C1DF3A6
'mttbu': 0x7C1D43A6
'mttcr': 0x7C1AF3A6
'mtvscr': 0x10000644
'mtxer': 0x7C0103A6
'mulhd': 0x7C000092
'mulhd.': 0x7C000093
'mulhdu': 0x7C000012
'mulhdu.': 0x7C000013
'mulhw': 0x7C000096
'mulhw.': 0x7C000097
'mulhwu': 0x7C000016
'mulhwu.': 0x7C000017
'mulld': 0x7C0001D2
'mulld.': 0x7C0001D3
'mulli': 0x1C000000
'mullw': 0x7C0001D6
'mullw.': 0x7C0001D7
'nand': 0x7C0003B8
'nand.': 0x7C0003B9
'neg': 0x7C0000D0
'neg.': 0x7C0000D1
'nop': 0x60000000
'nor': 0x7C0000F8
'nor.': 0x7C0000F9
'or': 0x7C000B78
'or.': 0x7C000379
'orc': 0x7C000338
'orc.': 0x7C000339
'ori': 0x60000001
'oris': 0x64000000
'popcntd': 0x7C0003F4
'popcntw': 0x7C0002F4
'ptesync': 0x7C4004AC
'rfci': 0x4C000066
'rfdi': 0x4C00004E
'rfi': 0x4C000064
'rfid': 0x4C000024
'rfmci': 0x4C00004C
'rldcl': 0x78000030
'rldcl.': 0x78000031
'rldcr': 0x78000012
'rldcr.': 0x78000013
'rldic': 0x78000008
'rldic.': 0x78000009
'rldicl': 0x78000022
'rldicl.': 0x78000023
'rldicr': 0x78000004
'rldicr.': 0x78000005
'rldimi': 0x7800000C
'rldimi.': 0x7800000D
'rlwimi': 0x50000000
'rlwimi.': 0x50000001
'rlwinm': 0x54000000
'rlwinm.': 0x54000001
'rlwnm': 0x5C000000
'rlwnm.': 0x5C000001
'rotld': 0x78000010
'rotld.': 0x78000011
'rotldi': 0x78000000
'rotldi.': 0x78000001
'rotlw': 0x5C00003E
'rotlw.': 0x5C00003F
'rotlwi': 0x5400083E
'rotlwi.': 0x5400003F
'sc': 0x44000002
'slbia': 0x7C0003E4
'slbie': 0x7C000364
'slbmfee': 0x7C000726
'slbmte': 0x7C000324
'sld': 0x7C000036
'sld.': 0x7C000037
'sldi': 0x780007C6
'slw': 0x7C000030
'slw.': 0x7C000031
'slwi': 0x5400003E
'srad': 0x7C000634
'srad.': 0x7C000635
'sradi': 0x7C000674
'sradi.': 0x7C000675
'sraw': 0x7C000630
'sraw.': 0x7C000631
'srawi': 0x7C000670
'srawi.': 0x7C000671
'srd': 0x7C000436
'srd.': 0x7C000437
'srw': 0x7C000430
'srw.': 0x7C000431
'srwi': 0x54000FFE
'stb': 0x98000000
'stbu': 0x9C000000
'stbux': 0x7C0001EE
'stbx': 0x7C0001AE
'std': 0xF8000000
'stdbrx': 0x7C000528
'stdcx.': 0x7C0001AD
'stdu': 0xF8000001
'stdux': 0x7C00016A
'stdx': 0x7C00012A
'stfd': 0xD8000000
'stfdu': 0xDC000000
'stfdux': 0x7C0005EE
'stfdx': 0x7C0005AE
