"copy_u.b GPREG , WREG [ NUM ]": 0x78C00019
"copy_u.d GPREG , WREG [ NUM ]": 0x78F80019
"copy_u.h GPREG , WREG [ NUM ]": 0x78E00019
"copy_u.w GPREG , WREG [ NUM ]": 0x78F00019
"ctc1 GPREG , CASH": 0x44C00000
"ctcmsa CASH , GPREG": 0x783E0019
"cvt.d.s FREG , FREG": 0x46000021
"cvt.d.w FREG , FREG": 0x46800021
"cvt.l.d FREG , FREG": 0x46200025
"cvt.l.s FREG , FREG": 0x46000025
"cvt.s.d FREG , FREG": 0x46200020
"cvt.s.w FREG , FREG": 0x46800020
"cvt.w.d FREG , FREG": 0x46200024
"cvt.w.s FREG , FREG": 0x46000024
"deret": 0x4200001F
"di": 0x41606000
"di GPREG": 0x41616000
"div GPREG , GPREG , GPREG": 0x0000009A
"div.d FREG , FREG , FREG": 0x46200003
"div.s FREG , FREG , FREG": 0x46000003
"div_s.b WREG , WREG , WREG": 0x7A000012
"div_s.d WREG , WREG , WREG": 0x7A600012
"div_s.h WREG , WREG , WREG": 0x7A200012
"div_s.w WREG , WREG , WREG": 0x7A400012
"div_u.b WREG , WREG , WREG": 0x7A800012
"div_u.d WREG , WREG , WREG": 0x7AE00012
"div_u.h WREG , WREG , WREG": 0x7AA00012
"div_u.w WREG , WREG , WREG": 0x7AC00012
"divu GPREG , GPREG , GPREG": 0x0000009B
"dlsa GPREG , GPREG , GPREG , NUM": 0x00000015
"dmfc1 GPREG , FREG": 0x44200000
"dmtc1 GPREG , FREG": 0x44A00000
"dotp_s.d WREG , WREG , WREG": 0x78600013
"dotp_s.h WREG , WREG , WREG": 0x78200013
"dotp_s.w WREG , WREG , WREG": 0x78400013
"dotp_u.d WREG , WREG , WREG": 0x78E00013
"dotp_u.h WREG , WREG , WREG": 0x78A00013
"dotp_u.w WREG , WREG , WREG": 0x78C00013
"dpa.w.ph ACREG , GPREG , GPREG": 0x7C000030
"dpadd_s.d WREG , WREG , WREG": 0x79600013
"dpadd_s.h WREG , WREG , WREG": 0x79200013
"dpadd_s.w WREG , WREG , WREG": 0x79400013
"dpadd_u.d WREG , WREG , WREG": 0x79E00013
"dpadd_u.h WREG , WREG , WREG": 0x79A00013
"dpadd_u.w WREG , WREG , WREG": 0x79C00013
"dpaq_s.w.ph ACREG , GPREG , GPREG": 0x7C000130
"dpaq_sa.l.w ACREG , GPREG , GPREG": 0x7C000330
"dpaqx_s.w.ph ACREG , GPREG , GPREG": 0x7C000630
"dpaqx_sa.w.ph ACREG , GPREG , GPREG": 0x7C0006B0
"dpau.h.qbl ACREG , GPREG , GPREG": 0x7C0000F0
"dpau.h.qbr ACREG , GPREG , GPREG": 0x7C0001F0
"dpax.w.ph ACREG , GPREG , GPREG": 0x7C000230
