"fstmiaxne": 0x1C800B01
"fstmiaxpl": 0x5C800B01
"fstmiaxvc": 0x7C800B01
"fstmiaxvs": 0x6C800B01
"hint": 0xE320F005
"hinteq": 0x0320F005
"hintge": 0xA320F005
"hintgt": 0xC320F005
"hinthi": 0x8320F005
"hinths": 0x2320F005
"hintle": 0xD320F005
"hintlo": 0x3320F005
"hintls": 0x9320F005
"hintlt": 0xB320F005
"hintmi": 0x4320F005
"hintne": 0x1320F005
"hintpl": 0x5320F005
"hintvc": 0x7320F005
"hintvs": 0x6320F005
"isb": 0xF57FF060
"ldc": 0xEC300000
"ldc2": 0xFC300000
"ldc2l": 0xFC700000
"ldceq": 0x0C300000
"ldcge": 0xAC300000
"ldcgt": 0xCC300000
"ldchi": 0x8C300000
"ldchs": 0x2C300000
"ldcl": 0xEC700000
"ldcle": 0xDC300000
"ldcleq": 0x0C700000
"ldclge": 0xAC700000
"ldclgt": 0xCC700000
"ldclhi": 0x8C700000
"ldclhs": 0x2C700000
"ldclle": 0xDC700000
"ldcllo": 0x3C700000
"ldclls": 0x9C700000
"ldcllt": 0xBC700000
"ldclmi": 0x4C700000
"ldclne": 0x1C700000
"ldclo": 0x3C300000
"ldclpl": 0x5C700000
"ldcls": 0x9C300000
"ldclt": 0xBC300000
"ldclvc": 0x7C700000
"ldclvs": 0x6C700000
"ldcmi": 0x4C300000
"ldcne": 0x1C300000
"ldcpl": 0x5C300000
"ldcvc": 0x7C300000
"ldcvs": 0x6C300000
"ldm": 0xE8900001
"ldmda": 0xE8100001
"ldmdaeq": 0x08100001
"ldmdage": 0xA8100001
"ldmdagt": 0xC8100001
"ldmdahi": 0x88100001
"ldmdahs": 0x28100001
"ldmdale": 0xD8100001
"ldmdalo": 0x38100001
"ldmdals": 0x98100001
"ldmdalt": 0xB8100001
"ldmdami": 0x48100001
"ldmdane": 0x18100001
"ldmdapl": 0x58100001
"ldmdavc": 0x78100001
"ldmdavs": 0x68100001
"ldmdb": 0xE9100001
"ldmdbeq": 0x09100001
"ldmdbge": 0xA9100001
"ldmdbgt": 0xC9100001
"ldmdbhi": 0x89100001
"ldmdbhs": 0x29100001
"ldmdble": 0xD9100001
"ldmdblo": 0x39100001
"ldmdbls": 0x99100001
"ldmdblt": 0xB9100001
"ldmdbmi": 0x49100001
"ldmdbne": 0x19100001
"ldmdbpl": 0x59100001
"ldmdbvc": 0x79100001
"ldmdbvs": 0x69100001
"ldmeq": 0x08900001
"ldmge": 0xA8900001
"ldmgt": 0xC8900001
"ldmhi": 0x88900001
"ldmhs": 0x28900001
"ldmib": 0xE9900001
"ldmibeq": 0x09900001
"ldmibge": 0xA9900001
"ldmibgt": 0xC9900001
"ldmibhi": 0x89900001
"ldmibhs": 0x29900001
"ldmible": 0xD9900001
"ldmiblo": 0x39900001
"ldmibls": 0x99900001
"ldmiblt": 0xB9900001
"ldmibmi": 0x49900001
"ldmibne": 0x19900001
"ldmibpl": 0x59900001
"ldmibvc": 0x79900001
"ldmibvs": 0x69900001
"ldmle": 0xD8900001
"ldmlo": 0x38900001
"ldmls": 0x98900001
"ldmlt": 0xB8900001
"ldmmi": 0x48900001
"ldmne": 0x18900001
"ldmpl": 0x58900001
"ldmvc": 0x78900001
"ldmvs": 0x68900001
"ldr": 0xE4100000
"ldrb": 0xE4500000
"ldrbeq": 0x04500000
"ldrbge": 0xA4500000
"ldrbgt": 0xC4500000
"ldrbhi": 0x84500000
"ldrbhs": 0x24500000
"ldrble": 0xD4500000
"ldrblo": 0x34500000
"ldrbls": 0x94500000
"ldrblt": 0xB4500000
"ldrbmi": 0x44500000
"ldrbne": 0x14500000
"ldrbpl": 0x54500000
"ldrbt": 0xE4700000
"ldrbteq": 0x04700000
"ldrbtge": 0xA4700000
"ldrbtgt": 0xC4700000
"ldrbthi": 0x84700000
"ldrbths": 0x24700000
"ldrbtle": 0xD4700000
"ldrbtlo": 0x34700000
"ldrbtls": 0x94700000
"ldrbtlt": 0xB4700000
"ldrbtmi": 0x44700000
"ldrbtne": 0x14700000
"ldrbtpl": 0x54700000
"ldrbtvc": 0x74700000
"ldrbtvs": 0x64700000
"ldrbvc": 0x74500000
"ldrbvs": 0x64500000
"ldrd": 0xE00000D0
"ldrdeq": 0x000000D0
"ldrdge": 0xA00000D0
"ldrdgt": 0xC00000D0
"ldrdhi": 0x800000D0
"ldrdhs": 0x200000D0
"ldrdle": 0xD00000D0
"ldrdlo": 0x300000D0
"ldrdls": 0x900000D0
"ldrdlt": 0xB00000D0
"ldrdmi": 0x400000D0
"ldrdne": 0x100000D0
"ldrdpl": 0x500000D0
"ldrdvc": 0x700000D0
"ldrdvs": 0x600000D0
"ldreq": 0x04100000
"ldrex": 0xE1900F9F
"ldrexb": 0xE1D00F9F
"ldrexbeq": 0x01D00F9F
"ldrexbge": 0xA1D00F9F
"ldrexbgt": 0xC1D00F9F
"ldrexbhi": 0x81D00F9F
"ldrexbhs": 0x21D00F9F
"ldrexble": 0xD1D00F9F
"ldrexblo": 0x31D00F9F
"ldrexbls": 0x91D00F9F
"ldrexblt": 0xB1D00F9F
"ldrexbmi": 0x41D00F9F
"ldrexbne": 0x11D00F9F
"ldrexbpl": 0x51D00F9F
"ldrexbvc": 0x71D00F9F
"ldrexbvs": 0x61D00F9F
"ldrexd": 0xE1B00F9F
"ldrexdeq": 0x01B00F9F
"ldrexdge": 0xA1B00F9F
"ldrexdgt": 0xC1B00F9F
"ldrexdhi": 0x81B00F9F
"ldrexdhs": 0x21B00F9F
"ldrexdle": 0xD1B00F9F
"ldrexdlo": 0x31B00F9F
"ldrexdls": 0x91B00F9F
"ldrexdlt": 0xB1B00F9F
"ldrexdmi": 0x41B00F9F
"ldrexdne": 0x11B00F9F
"ldrexdpl": 0x51B00F9F
"ldrexdvc": 0x71B00F9F
"ldrexdvs": 0x61B00F9F
"ldrexeq": 0x01900F9F
"ldrexge": 0xA1900F9F
"ldrexgt": 0xC1900F9F
"ldrexh": 0xE1F00F9F
"ldrexheq": 0x01F00F9F
"ldrexhge": 0xA1F00F9F
"ldrexhgt": 0xC1F00F9F
"ldrexhhi": 0x81F00F9F
"ldrexhhs": 0x21F00F9F
"ldrexhi": 0x81900F9F
"ldrexhle": 0xD1F00F9F
"ldrexhlo": 0x31F00F9F
"ldrexhls": 0x91F00F9F
"ldrexhlt": 0xB1F00F9F
"ldrexhmi": 0x41F00F9F
"ldrexhne": 0x11F00F9F
"ldrexhpl": 0x51F00F9F
"ldrexhs": 0x21900F9F
"ldrexhvc": 0x71F00F9F
"ldrexhvs": 0x61F00F9F
"ldrexle": 0xD1900F9F
"ldrexlo": 0x31900F9F
"ldrexls": 0x91900F9F
"ldrexlt": 0xB1900F9F
"ldrexmi": 0x41900F9F
"ldrexne": 0x11900F9F
"ldrexpl": 0x51900F9F
"ldrexvc": 0x71900F9F
"ldrexvs": 0x61900F9F
"ldrge": 0xA4100000
"ldrgt": 0xC4100000
"ldrh": 0xE01000B0
"ldrheq": 0x001000B0
"ldrhge": 0xA01000B0
"ldrhgt": 0xC01000B0
"ldrhhi": 0x801000B0
"ldrhhs": 0x201000B0
"ldrhi": 0x84100000
"ldrhle": 0xD01000B0
"ldrhlo": 0x301000B0
"ldrhls": 0x901000B0
"ldrhlt": 0xB01000B0
"ldrhmi": 0x401000B0
"ldrhne": 0x101000B0
"ldrhpl": 0x501000B0
"ldrhs": 0x24100000
"ldrht": 0xE03000B0
"ldrhteq": 0x003000B0
"ldrhtge": 0xA03000B0
"ldrhtgt": 0xC03000B0
"ldrhthi": 0x803000B0
"ldrhths": 0x203000B0
"ldrhtle": 0xD03000B0
"ldrhtlo": 0x303000B0
"ldrhtls": 0x903000B0
"ldrhtlt": 0xB03000B0
"ldrhtmi": 0x403000B0
"ldrhtne": 0x103000B0
"ldrhtpl": 0x503000B0
"ldrhtvc": 0x703000B0
"ldrhtvs": 0x603000B0
"ldrhvc": 0x701000B0
"ldrhvs": 0x601000B0
"ldrle": 0xD4100000
"ldrlo": 0x34100000
"ldrls": 0x94100000
"ldrlt": 0xB4100000
"ldrmi": 0x44100000
"ldrne": 0x14100000
"ldrpl": 0x54100000
"ldrsb": 0xE01000D0
"ldrsbeq": 0x001000D0
"ldrsbge": 0xA01000D0
"ldrsbgt": 0xC01000D0
"ldrsbhi": 0x801000D0
"ldrsbhs": 0x201000D0
"ldrsble": 0xD01000D0
"ldrsblo": 0x301000D0
"ldrsbls": 0x901000D0
"ldrsblt": 0xB01000D0
"ldrsbmi": 0x401000D0
"ldrsbne": 0x101000D0
"ldrsbpl": 0x501000D0
"ldrsbt": 0xE03000D0
"ldrsbteq": 0x003000D0
"ldrsbtge": 0xA03000D0
"ldrsbtgt": 0xC03000D0
"ldrsbthi": 0x803000D0
"ldrsbths": 0x203000D0
"ldrsbtle": 0xD03000D0
"ldrsbtlo": 0x303000D0
"ldrsbtls": 0x903000D0
"ldrsbtlt": 0xB03000D0
"ldrsbtmi": 0x403000D0
"ldrsbtne": 0x103000D0
"ldrsbtpl": 0x503000D0
"ldrsbtvc": 0x703000D0
"ldrsbtvs": 0x603000D0
"ldrsbvc": 0x701000D0
"ldrsbvs": 0x601000D0
"ldrsh": 0xE01000F0
"ldrsheq": 0x001000F0
"ldrshge": 0xA01000F0
"ldrshgt": 0xC01000F0
"ldrshhi": 0x801000F0
"ldrshhs": 0x201000F0
"ldrshle": 0xD01000F0
"ldrshlo": 0x301000F0
"ldrshls": 0x901000F0
"ldrshlt": 0xB01000F0
"ldrshmi": 0x401000F0
"ldrshne": 0x101000F0
"ldrshpl": 0x501000F0
"ldrsht": 0xE03000F0
"ldrshteq": 0x003000F0
"ldrshtge": 0xA03000F0
"ldrshtgt": 0xC03000F0
"ldrshthi": 0x803000F0
"ldrshths": 0x203000F0
"ldrshtle": 0xD03000F0
"ldrshtlo": 0x303000F0
"ldrshtls": 0x903000F0
"ldrshtlt": 0xB03000F0
"ldrshtmi": 0x403000F0
"ldrshtne": 0x103000F0
"ldrshtpl": 0x503000F0
"ldrshtvc": 0x703000F0
"ldrshtvs": 0x603000F0
"ldrshvc": 0x701000F0
"ldrshvs": 0x601000F0
"ldrt": 0xE4300000
"ldrteq": 0x04300000
"ldrtge": 0xA4300000
"ldrtgt": 0xC4300000
"ldrthi": 0x84300000
"ldrths": 0x24300000
"ldrtle": 0xD4300000
"ldrtlo": 0x34300000
"ldrtls": 0x94300000
"ldrtlt": 0xB4300000
"ldrtmi": 0x44300000
"ldrtne": 0x14300000
"ldrtpl": 0x54300000
"ldrtvc": 0x74300000
"ldrtvs": 0x64300000
"ldrvc": 0x74100000
"ldrvs": 0x64100000
"lsl": 0xE1A00010
"lsleq": 0x01A00010
"lslge": 0xA1A00010
"lslgt": 0xC1A00010
"lslhi": 0x81A00010
"lslhs": 0x21A00010
"lslle": 0xD1A00010
"lsllo": 0x31A00010
"lslls": 0x91A00010
"lsllt": 0xB1A00010
"lslmi": 0x41A00010
"lslne": 0x11A00010
"lslpl": 0x51A00010
"lsls": 0xE1B00010
"lslseq": 0x01B00010
"lslsge": 0xA1B00010
"lslsgt": 0xC1B00010
"lslshi": 0x81B00010
"lslshs": 0x21B00010
"lslsle": 0xD1B00010
"lslslo": 0x31B00010
"lslsls": 0x91B00010
"lslslt": 0xB1B00010
"lslsmi": 0x41B00010
"lslsne": 0x11B00010
"lslspl": 0x51B00010
"lslsvc": 0x71B00010
"lslsvs": 0x61B00010
"lslvc": 0x71A00010
"lslvs": 0x61A00010
"lsr": 0xE1A00020
"lsreq": 0x01A00020
"lsrge": 0xA1A00020
"lsrgt": 0xC1A00020
"lsrhi": 0x81A00020
"lsrhs": 0x21A00020
"lsrle": 0xD1A00020
"lsrlo": 0x31A00020
"lsrls": 0x91A00020
"lsrlt": 0xB1A00020
"lsrmi": 0x41A00020
"lsrne": 0x11A00020
"lsrpl": 0x51A00020
"lsrs": 0xE1B00020
"lsrseq": 0x01B00020
"lsrsge": 0xA1B00020
"lsrsgt": 0xC1B00020
"lsrshi": 0x81B00020
"lsrshs": 0x21B00020
"lsrsle": 0xD1B00020
"lsrslo": 0x31B00020
"lsrsls": 0x91B00020
"lsrslt": 0xB1B00020
"lsrsmi": 0x41B00020
"lsrsne": 0x11B00020
"lsrspl": 0x51B00020
"lsrsvc": 0x71B00020
"lsrsvs": 0x61B00020
"lsrvc": 0x71A00020
"lsrvs": 0x61A00020
"mcr": 0xEE000010
"mcr2": 0xFE000010
"mcreq": 0x0E000010
"mcrge": 0xAE000010
"mcrgt": 0xCE000010
"mcrhi": 0x8E000010
"mcrhs": 0x2E000010
"mcrle": 0xDE000010
"mcrlo": 0x3E000010
"mcrls": 0x9E000010
"mcrlt": 0xBE000010
"mcrmi": 0x4E000010
"mcrne": 0x1E000010
"mcrpl": 0x5E000010
"mcrr": 0xEC400000
"mcrr2": 0xFC400000
"mcrreq": 0x0C400000
"mcrrge": 0xAC400000
"mcrrgt": 0xCC400000
"mcrrhi": 0x8C400000
"mcrrhs": 0x2C400000
"mcrrle": 0xDC400000
"mcrrlo": 0x3C400000
"mcrrls": 0x9C400000
"mcrrlt": 0xBC400000
"mcrrmi": 0x4C400000
"mcrrne": 0x1C400000
"mcrrpl": 0x5C400000
"mcrrvc": 0x7C400000
"mcrrvs": 0x6C400000
"mcrvc": 0x7E000010
"mcrvs": 0x6E000010
"mla": 0xE0200090
"mlaeq": 0x00200090
"mlage": 0xA0200090
"mlagt": 0xC0200090
"mlahi": 0x80200090
"mlahs": 0x20200090
"mlale": 0xD0200090
"mlalo": 0x30200090
"mlals": 0x90200090
"mlalt": 0xB0200090
"mlami": 0x40200090
"mlane": 0x10200090
"mlapl": 0x50200090
"mlas": 0xE0300090
"mlaseq": 0x00300090
"mlasge": 0xA0300090
"mlasgt": 0xC0300090
"mlashi": 0x80300090
"mlashs": 0x20300090
"mlasle": 0xD0300090
"mlaslo": 0x30300090
"mlasls": 0x90300090
"mlaslt": 0xB0300090
"mlasmi": 0x40300090
"mlasne": 0x10300090
"mlaspl": 0x50300090
"mlasvc": 0x70300090
"mlasvs": 0x60300090
"mlavc": 0x70200090
"mlavs": 0x60200090
"mls": 0xE0600090
"mlseq": 0x00600090
"mlsge": 0xA0600090
"mlsgt": 0xC0600090
"mlshi": 0x80600090
"mlshs": 0x20600090
"mlsle": 0xD0600090
"mlslo": 0x30600090
"mlsls": 0x90600090
"mlslt": 0xB0600090
"mlsmi": 0x40600090
"mlsne": 0x10600090
"mlspl": 0x50600090
"mlsvc": 0x70600090
"mlsvs": 0x60600090
"mov": 0xE1A00000
"moveq": 0x01A00000
"movge": 0xA1A00000
"movgt": 0xC1A00000
"movhi": 0x81A00000
"movhs": 0x21A00000
"movle": 0xD1A00000
"movlo": 0x31A00000
"movls": 0x91A00000
"movlt": 0xB1A00000
"movmi": 0x41A00000
"movne": 0x11A00000
"movpl": 0x51A00000
"movs": 0xE1B00000
"movseq": 0x01B00000
"movsge": 0xA1B00000
"movsgt": 0xC1B00000
"movshi": 0x81B00000
"movshs": 0x21B00000
